question;answer_id
Ola;0
Bom dia;0
Oi;0
Tudo otimo comigo.;1
tudo bem comigo;1
estou bem tambem;1
Voce tem cachorro?;2
Voce tem algum animal?;2
Voce gosta de animais?;2
Voce tem algum bicho de estimação?;2
Qual raça do seu cachorro?;3
De que raça ele é?;3
Qua a raça dele?;3
Qual idade do seu cachorro?;4
Quantos anos seu cachorro tem?;4
Qual a idade dele?;4
Quanto anos ele tem?;4
Quem é você?;5
O que você faz?;8
O que você sabe?;9
Quantos anos você tem?;10
Qual a sua idade?;10
Qual sua comida preferida?;6
Que tipo de comida você gosta?;6
O que você gosta de comer?;6
Eu gosto de lasanha, e você?;6
Gosta de sushi?;6
Você gosta de star trek ou star wars?;11
Eu prefiro Star trek!;12
Eu prefiro Star wars!;13
Eu sou fã de star trek, e você?;14
Qual o seu personagem favorito de star trek?;15
Qual o seu personagem favorito de star wars?;16
De quem você mais gosta no universo de star trek?;17
Eu gosto do Riker, e você?;15
Não gosto de star trek!;18
Não gosto de star wars!;19
Você gosta de ficção científica?;11
Você gosta de séries?;11
Qual a sua séie de star trek favorita?;22
Eu gosto mais da nova geração.;23
Eu prefiro a nova geração.;23
Eu não gosto de deep space.;21
Eu não gosto da voyager.;21
C3PO ou R2D2?;24
Curtiu o último filme?;25
De quem você mais gosta em star wars?;24
Você gosta de star wars?;19
Posso te fazer algumas perguntas;7
Queria te fazer algumas pergutas;7
Queria te perguntar algumas coisas;7
Se importa se eu fizer algumas perguntas;7
vou te fazer algumas perguntas ok?;7
Deixa eu te perguntar;7
Me conta uma coisa;7
opa;0
blz?;0
e aí?;0
Gosta de política?;26
Em quem você votou na última eleição?;24
Você é de qual partido?;17
PT ou Bolsonaro?;36
Você acha que o governo atual é bom?;42
Você gosta de brincar?;27
Qual sua brincadeira favorita?;28
Eu gosto de correr;29
O que você gosta de fazer nas horas vagas?;28
Já assistiu Jaspion?;27
Conhece o Jaspion?;27
Você tem filhos?;2
Como você se diverte?;28
Qual o seu hobby?;28
Já assistiu Galinha Pintadinha?;30
Já viajou para outro país?;31
Gosta de viajar?;31
Conhece o Brasil?;32
Conhece Foz do Iguaçu?;32
Conhece as cataratas do Iguaçu?;33
Foi visitar algum lugar diferente?;31
Gosta de Futebol?;34
Qual seu esporte favorito?;35
Pra qual time torce?;36
Qual seu time?;36
Qual seu time favorito?;36
Eu torço para o Palmeiras;37
Palmeiras;37
Sou Palmeirense;37
Sou Corinthiano;38
Corinthians;38
Flamengo;38
Sou flamengo;38
Flamenguista;38
Sou Sao Paulino;39
Sao Paulo;39
Nao gosto de futebol;40
Gosto de Handball;41
Qual seu maior medo?;42
Você tem medo de alguma coisa?;42
Eu tenho medo de barata, e você?;42
Você tem medo de fantasmas?;42
Fantasmas existem?;43
Você já viu algum fantasma?;44
Você gosta de filmes de terror?;45
Qual seu filme de terror preferido?;45
Qual filme de terror mais assustador?;46
Você já assitiu algum filme de terror?;45
